Id,Label,type,difficulty,modularity_class,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,clustering,triangles,eigencentrality
Implement Queue using Stacks,Implement Queue using Stacks,Problem,Easy,34,0,3,3,6,0.262383,0.274343,60.16175,0,0,0,0.003055
Suspicious Bank Accounts,Suspicious Bank Accounts,Problem,Medium,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
K-Concatenation Maximum Sum,K-Concatenation Maximum Sum,Problem,Medium,43,0,2,2,6,0.380009,0.42038,390.906154,0,0,0,0.021525
Count Pairs of Equal Substrings With Minimum Difference,Count Pairs of Equal Substrings With Minimum Difference,Problem,Medium,73,0,3,3,6,0.328736,0.369827,584.498691,0,0,0,0.016119
Minimum Operations to Make All Array Elements Equal,Minimum Operations to Make All Array Elements Equal,Problem,Medium,81,0,4,4,6,0.371212,0.413388,180.407892,0,0.166667,1,0.025722
Sort List,Sort List,Problem,Medium,34,0,5,5,6,0.282466,0.307842,905.290306,0,0,0,0.00772
Maximize the Topmost Element After K Moves,Maximize the Topmost Element After K Moves,Problem,Medium,73,0,2,2,6,0.371721,0.413034,181.852162,0,0,0,0.020219
Immediate Food Delivery II,Immediate Food Delivery II,Problem,Medium,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
Nim Game,Nim Game,Problem,Easy,76,0,3,3,6,0.276619,0.298597,59.474208,0,0,0,0.005485
Circle and Rectangle Overlapping,Circle and Rectangle Overlapping,Problem,Medium,76,0,2,2,6,0.276273,0.297912,11.675728,0,0,0,0.005296
Complete Binary Tree Inserter,Complete Binary Tree Inserter,Problem,Medium,55,0,4,4,5,0.271928,0.290528,339.001049,0,0,0,0.006193
Merge Operations for Minimum Travel Time,Merge Operations for Minimum Travel Time,Problem,Hard,43,0,3,3,6,0.382025,0.422269,512.018193,0,0,0,0.023498
Semi-Ordered Permutation,Semi-Ordered Permutation,Problem,Easy,86,0,2,2,6,0.366622,0.40831,190.424025,0,0,0,0.01824
Closest Binary Search Tree Value II,Closest Binary Search Tree Value II,Problem,Hard,55,0,7,7,5,0.290897,0.320493,1892.243207,0,0,0,0.011203
Minimum Absolute Difference,Minimum Absolute Difference,Problem,Easy,73,0,2,2,6,0.366507,0.408239,68.901858,0,0,0,0.020819
Remove K-Balanced Substrings,Remove K-Balanced Substrings,Problem,Medium,42,0,3,3,6,0.298124,0.330981,364.5405,0,0,0,0.009171
Maximum Score Words Formed by Letters,Maximum Score Words Formed by Letters,Problem,Hard,43,0,8,8,6,0.440669,0.466605,4980.797293,0,0,0,0.039527
Maximal Range That Each Element Is Maximum in It,Maximal Range That Each Element Is Maximum in It,Problem,Medium,42,0,3,3,6,0.368729,0.410388,348.79837,0,0,0,0.018727
Longest Substring Without Repeating Characters,Longest Substring Without Repeating Characters,Problem,Medium,73,0,3,3,6,0.315394,0.353741,352.723902,0,0,0,0.013893
Reverse Words With Same Vowel Count,Reverse Words With Same Vowel Count,Problem,Medium,86,0,3,3,6,0.300819,0.33467,385.168126,0,0,0,0.009717
Flatten Binary Tree to Linked List,Flatten Binary Tree to Linked List,Problem,Medium,55,0,5,5,5,0.274809,0.295266,1482.651124,0,0,0,0.007701
H-Index II,H-Index II,Problem,Medium,81,0,2,2,6,0.363636,0.406137,0,0,1,1,0.019547
Maximum Repeating Substring,Maximum Repeating Substring,Problem,Easy,42,0,3,3,6,0.311661,0.349126,541.798075,0,0,0,0.011478
Binary Tree Coloring Game,Binary Tree Coloring Game,Problem,Medium,55,0,3,3,5,0.265543,0.279323,13.625103,0,0,0,0.005642
Average Salary: Departments VS Company,Average Salary: Departments VS Company,Problem,Hard,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
Count Distinct Integers After Removing Zeros,Count Distinct Integers After Removing Zeros,Problem,Medium,76,0,2,2,6,0.300819,0.334651,317.049557,0,0,0,0.009695
Topological Sort,Topological Sort,Tag,,55,40,0,40,5,0.33236,0.339229,4478.869571,0,0,0,0.016135
Reverse Words in a String,Reverse Words in a String,Problem,Medium,81,0,2,2,6,0.293511,0.324206,161.457078,0,0,0,0.008093
Minimum Amount of Damage Dealt to Bob,Minimum Amount of Damage Dealt to Bob,Problem,Hard,81,0,3,3,6,0.375319,0.416412,283.91982,0,0,0,0.024421
Calculator with Method Chaining,Calculator with Method Chaining,Problem,Easy,3,0,0,0,0,0,0,0,5,0,0,0
Find All Lonely Numbers in the Array,Find All Lonely Numbers in the Array,Problem,Medium,73,0,3,3,6,0.382812,0.422931,414.272399,0,0,0,0.024693
Move Sub-Tree of N-Ary Tree,Move Sub-Tree of N-Ary Tree,Problem,Hard,55,0,2,2,5,0.265503,0.279134,6.966251,0,0,0,0.004353
Find the Longest Balanced Substring of a Binary String,Find the Longest Balanced Substring of a Binary String,Problem,Easy,42,0,1,1,6,0.285529,0.312283,0,0,0,0,0.006146
Kth Largest Element in a Stream,Kth Largest Element in a Stream,Problem,Easy,55,0,6,6,6,0.272812,0.292399,744.177092,0,0,0,0.006804
Number of Ways to Build Sturdy Brick Wall,Number of Ways to Build Sturdy Brick Wall,Problem,Medium,43,0,4,4,6,0.385742,0.425529,815.029819,0,0,0,0.024334
Check If It Is a Good Array,Check If It Is a Good Array,Problem,Hard,76,0,3,3,6,0.38992,0.428992,957.253105,0,0,0,0.022262
All Possible Full Binary Trees,All Possible Full Binary Trees,Problem,Medium,55,0,5,5,6,0.287577,0.316005,1242.682066,0,0,0,0.009046
Find Time Required to Eliminate Bacterial Strains,Find Time Required to Eliminate Bacterial Strains,Problem,Hard,81,0,4,4,6,0.401639,0.438511,1686.07143,0,0,0,0.026784
Maximize Subarrays After Removing One Conflicting Pair,Maximize Subarrays After Removing One Conflicting Pair,Problem,Hard,34,0,4,4,6,0.369154,0.410955,347.341576,0,0,0,0.020503
Number of Stable Subsequences,Number of Stable Subsequences,Problem,Hard,43,0,2,2,6,0.380009,0.42038,390.906154,0,0,0,0.021525
"Pow(x, n)","Pow(x, n)",Problem,Medium,76,0,2,2,6,0.277402,0.299754,117.662078,0,0,0,0.005272
Matrix Diagonal Sum,Matrix Diagonal Sum,Problem,Easy,73,0,2,2,6,0.361661,0.403633,5.907785,0,0,0,0.018873
Smallest String With Swaps,Smallest String With Swaps,Problem,Medium,55,0,7,7,5,0.445961,0.469444,7040.181932,0,0,0,0.038631
Page Recommendations,Page Recommendations,Problem,Medium,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
Database,Database,Tag,,4,310,0,310,1,1,1,47895,1,0,0,0.060227
Valid Palindrome II,Valid Palindrome II,Problem,Easy,81,0,3,3,6,0.309854,0.346721,454.702912,0,0,0,0.011695
Partition to K Equal Sum Subsets,Partition to K Equal Sum Subsets,Problem,Medium,43,0,6,6,6,0.38906,0.428529,1346.566149,0,0,0,0.025787
Number of Distinct Averages,Number of Distinct Averages,Problem,Easy,73,0,4,4,6,0.391782,0.430655,859.060966,0,0,0,0.029135
Minimum Number of Chairs in a Waiting Room,Minimum Number of Chairs in a Waiting Room,Problem,Easy,86,0,2,2,6,0.292926,0.323455,170.077841,0,0,0,0.00777
Find the Number of Copy Arrays,Find the Number of Copy Arrays,Problem,Medium,76,0,2,2,6,0.389834,0.428803,854.510067,0,0,0,0.021402
Design Auction System,Design Auction System,Problem,Medium,34,0,4,4,6,0.294983,0.326502,224.141308,0,0,0,0.009967
Handling Sum Queries After Update,Handling Sum Queries After Update,Problem,Hard,34,0,2,2,6,0.362143,0.404129,51.085107,0,0,0,0.017345
Word Pattern,Word Pattern,Problem,Easy,42,0,2,2,6,0.311111,0.348233,245.417228,0,0,0,0.012516
Analyze Organization Hierarchy,Analyze Organization Hierarchy,Problem,Hard,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
Combination Sum II,Combination Sum II,Problem,Medium,43,0,2,2,6,0.365634,0.407389,264.66002,0,0,0,0.017587
Widest Vertical Area Between Two Points Containing No Points,Widest Vertical Area Between Two Points Containing No Points,Problem,Easy,81,0,2,2,6,0.366507,0.408239,68.901858,0,0,0,0.020819
Random Pick with Weight,Random Pick with Weight,Problem,Medium,76,0,5,5,6,0.393926,0.432889,1677.301992,0,0.1,1,0.026558
Minimum Total Space Wasted With K Resizing Operations,Minimum Total Space Wasted With K Resizing Operations,Problem,Medium,73,0,3,3,6,0.382025,0.422269,512.018193,0,0,0,0.023498
Game of Nim,Game of Nim,Problem,Medium,76,0,6,6,6,0.408854,0.444251,2635.671353,0,0,0,0.029216
Randomized,Randomized,Tag,,76,12,0,12,7,0.29825,0.311926,270.651169,0,0,0,0.00497
Create Binary Tree From Descriptions,Create Binary Tree From Descriptions,Problem,Medium,55,0,4,4,6,0.396761,0.434576,2756.001644,0,0,0,0.026154
Smallest Value After Replacing With Sum of Prime Factors,Smallest Value After Replacing With Sum of Prime Factors,Problem,Medium,76,0,3,3,6,0.283829,0.309963,158.480244,0,0,0,0.00727
Assign Cookies,Assign Cookies,Problem,Easy,73,0,4,4,6,0.381653,0.422151,664.483112,0,0,0,0.026368
Rearrange Products Table,Rearrange Products Table,Problem,Easy,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
Boundary of Binary Tree,Boundary of Binary Tree,Problem,Medium,55,0,3,3,5,0.265543,0.279323,13.625103,0,0,0,0.005642
Check if Move is Legal,Check if Move is Legal,Problem,Medium,73,0,3,3,6,0.366051,0.407908,209.294303,0,0,0,0.020058
Kth Largest Sum in a Binary Tree,Kth Largest Sum in a Binary Tree,Problem,Medium,55,0,4,4,5,0.288849,0.317125,700.752924,0,0,0,0.009302
Maximum Strictly Increasing Cells in a Matrix,Maximum Strictly Increasing Cells in a Matrix,Problem,Hard,43,0,8,8,6,0.406733,0.443268,2046.96263,0,0.035714,1,0.038492
Count Numbers with Unique Digits,Count Numbers with Unique Digits,Problem,Medium,43,0,3,3,6,0.3044,0.339593,562.474212,0,0,0,0.010665
Greatest Sum Divisible by Three,Greatest Sum Divisible by Three,Problem,Medium,81,0,4,4,6,0.393267,0.431789,943.067363,0,0,0,0.029331
Minimum Index Sum of Two Lists,Minimum Index Sum of Two Lists,Problem,Easy,42,0,3,3,6,0.421354,0.452953,1843.749042,0,0,0,0.029132
Reformat The String,Reformat The String,Problem,Easy,42,0,1,1,6,0.285529,0.312283,0,0,0,0,0.006146
Count Complete Subarrays in an Array,Count Complete Subarrays in an Array,Problem,Medium,73,0,3,3,6,0.383312,0.423403,400.660238,0,0,0,0.024363
Pacific Atlantic Water Flow,Pacific Atlantic Water Flow,Problem,Medium,55,0,4,4,5,0.382066,0.421943,1750.138468,0,0,0,0.023279
Count Prefix and Suffix Pairs II,Count Prefix and Suffix Pairs II,Problem,Hard,42,0,6,6,6,0.415059,0.448772,2036.802609,0,0,0,0.024676
Find Subsequence of Length K With the Largest Sum,Find Subsequence of Length K With the Largest Sum,Problem,Easy,81,0,4,4,6,0.387182,0.426757,674.088847,0,0,0,0.028968
Count Square Submatrices with All Ones,Count Square Submatrices with All Ones,Problem,Medium,86,0,3,3,6,0.38009,0.420569,451.998999,0,0,0,0.023782
Count Unique Characters of All Substrings of a Given String,Count Unique Characters of All Substrings of a Given String,Problem,Hard,43,0,3,3,6,0.339623,0.382015,957.9774,0,0,0,0.017425
Longest Nice Substring,Longest Nice Substring,Problem,Easy,34,0,5,5,6,0.32935,0.370772,1123.098372,0,0,0,0.01674
Find Consistently Improving Employees,Find Consistently Improving Employees,Problem,Medium,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
Count Nodes Equal to Sum of Descendants,Count Nodes Equal to Sum of Descendants,Problem,Medium,55,0,3,3,5,0.265543,0.279323,13.625103,0,0,0,0.005642
Maximum Subarray Min-Product,Maximum Subarray Min-Product,Problem,Medium,42,0,4,4,6,0.371564,0.413128,470.312367,0,0,0,0.0207
Friendly Movies Streamed Last Month,Friendly Movies Streamed Last Month,Problem,Easy,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
Integer to English Words,Integer to English Words,Problem,Hard,76,0,3,3,6,0.315394,0.353741,1167.763396,0,0,0,0.011418
Make Array Strictly Increasing,Make Array Strictly Increasing,Problem,Hard,81,0,4,4,6,0.387097,0.427206,701.362797,0,0.166667,1,0.028658
Create Target Array in the Given Order,Create Target Array in the Given Order,Problem,Easy,86,0,2,2,6,0.366622,0.40831,190.424025,0,0,0,0.01824
Construct K Palindrome Strings,Construct K Palindrome Strings,Problem,Medium,73,0,4,4,6,0.32972,0.371079,686.598998,0,0,0,0.017826
Maximum Frequency After Subarray Operation,Maximum Frequency After Subarray Operation,Problem,Medium,73,0,6,6,6,0.414133,0.448134,1995.439188,0,0,0,0.034655
Make Object Immutable,Make Object Immutable,Problem,Medium,5,0,0,0,0,0,0,0,6,0,0,0
Reorder Routes to Make All Paths Lead to the City Zero,Reorder Routes to Make All Paths Lead to the City Zero,Problem,Medium,55,0,3,3,5,0.269931,0.287009,102.480748,0,0,0,0.005801
Find Beautiful Indices in the Given Array I,Find Beautiful Indices in the Given Array I,Problem,Medium,42,0,6,6,6,0.354644,0.379894,728.44337,0,0,0,0.012295
Selling Pieces of Wood,Selling Pieces of Wood,Problem,Hard,43,0,3,3,6,0.38009,0.420569,505.534981,0,0,0,0.022008
Find the Largest Palindrome Divisible by K,Find the Largest Palindrome Divisible by K,Problem,Hard,76,0,5,5,6,0.355001,0.398162,2370.51644,0,0,0,0.020305
Bold Words in String,Bold Words in String,Problem,Medium,42,0,5,5,6,0.421959,0.453614,2284.515996,0,0,0,0.030196
Unique Morse Code Words,Unique Morse Code Words,Problem,Easy,73,0,3,3,6,0.421354,0.452953,1843.749042,0,0,0,0.029132
Reshape Data: Concatenate,Reshape Data: Concatenate,Problem,Easy,6,0,0,0,0,0,0,0,7,0,0,0
Minimum Cost to Split an Array,Minimum Cost to Split an Array,Problem,Hard,73,0,4,4,6,0.401868,0.438591,1151.222624,0,0,0,0.029602
Combine Two Tables,Combine Two Tables,Problem,Easy,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
Power of Four,Power of Four,Problem,Easy,76,0,3,3,6,0.287484,0.315528,398.043001,0,0,0,0.007477
Smallest Pair With Different Frequencies,Smallest Pair With Different Frequencies,Problem,Easy,73,0,3,3,6,0.382812,0.422931,414.272399,0,0,0,0.024693
Flip Game II,Flip Game II,Problem,Medium,76,0,5,5,6,0.304505,0.339971,688.638898,0,0,0,0.011539
Bit Manipulation,Bit Manipulation,Tag,,43,278,0,278,5,0.35115,0.386635,140253.761978,0,0,0,0.117856
Calculate Amount Paid in Taxes,Calculate Amount Paid in Taxes,Problem,Easy,86,0,2,2,6,0.366622,0.40831,190.424025,0,0,0,0.01824
Online Stock Span,Online Stock Span,Problem,Medium,34,0,4,4,6,0.261179,0.272265,96.759251,0,0,0,0.003533
Check if a Parentheses String Can Be Valid,Check if a Parentheses String Can Be Valid,Problem,Medium,42,0,3,3,6,0.307585,0.343811,448.458329,0,0,0,0.01115
Count Substrings That Satisfy K-Constraint II,Count Substrings That Satisfy K-Constraint II,Problem,Hard,73,0,5,5,6,0.417219,0.450638,2022.006145,0,0.1,1,0.029043
Search a 2D Matrix,Search a 2D Matrix,Problem,Medium,81,0,3,3,6,0.363711,0.406326,7.90146,0,0.333333,1,0.021803
